date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-06-17,22.781,14.281,19.087252,0.0,16.919998,22.05,13.0,18.045834,0.0,20.423456,0.7310009,0.7310009,1.2810001,1.2810001,1.0414181,1.0414181,0.0,0.0,-3.503458,3.503458
2025-06-18,27.880999,16.431,22.270584,0.0,22.68,26.6,13.85,20.78125,0.70000005,23.48362,1.2809982,1.2809982,2.5809994,2.5809994,1.4893341,1.4893341,-0.70000005,0.70000005,-0.8036194,0.8036194
2025-06-19,21.730999,15.681001,18.366413,0.2,24.84,22.1,13.9,17.304167,0.1,26.009844,-0.3690014,0.3690014,1.7810011,1.7810011,1.0622463,1.0622463,0.1,0.1,-1.1698437,1.1698437
2025-06-20,21.831,12.781,17.485165,0.0,23.039999,21.35,10.95,16.383333,0.2,22.644258,0.480999,0.480999,1.8310003,1.8310003,1.1018314,1.1018314,-0.2,0.2,0.3957405,0.3957405
2025-06-21,23.980999,11.981,19.11433,0.0,17.28,24.25,9.65,18.237501,0.0,17.160524,-0.269001,0.269001,2.3310003,2.3310003,0.87682915,0.87682915,0.0,0.0,0.11947632,0.11947632
2025-06-22,26.380999,17.181,21.653915,0.0,21.599998,26.35,15.9,20.945833,0.1,17.975681,0.03099823,0.03099823,1.2810001,1.2810001,0.7080822,0.7080822,-0.1,0.1,3.6243172,3.6243172
2025-06-23,30.130999,15.081,22.210167,0.0,23.4,31.75,13.1,21.352083,4.6,19.64558,-1.6190014,1.6190014,1.981,1.981,0.8580837,0.8580837,-4.6,4.6,3.7544193,3.7544193
2025-06-24,21.781,14.531,18.81225,0.3,25.56,20.4,13.25,17.491663,0.1,26.478973,1.3810005,1.3810005,1.2810001,1.2810001,1.3205872,1.3205872,0.20000002,0.20000002,-0.9189739,0.9189739
2025-06-25,23.681,17.230999,19.733082,1.5,30.599998,23.45,14.45,18.3,4.7000003,26.122334,0.230999,0.230999,2.7809992,2.7809992,1.4330826,1.4330826,-3.2000003,3.2000003,4.477665,4.477665
2025-06-26,25.531,14.081,20.489334,0.0,14.04,23.9,12.0,18.775002,0.0,11.631956,1.6310005,1.6310005,2.0810003,2.0810003,1.7143326,1.7143326,0.0,0.0,2.4080439,2.4080439
